Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1011,"O Seehausen, Y Terai, IS Magalhaes, KL Carleton…","Speciation through sensory drive in cichlid fish",2008,"Nature","nature.com","https://www.nature.com/articles/nature07285","https://scholar.google.com/scholar?cites=6412753288555412456&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:06:33","","","","",,,,,1011,77.77,202,5,13,"Theoretically, divergent selection on sensory systems can cause speciation through sensory drive. However, empirical evidence is rare and incomplete. Here we demonstrate sensory …","https://www.academia.edu/download/44350015/Seehausen_et_al_2008_Nature___SI.pdf","https://scholar.google.com/scholar?q=related:6DuQxCOt_lgJ:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
207,"Y Terai, O Seehausen, T Sasaki, K Takahashi…","Divergent selection on opsins drives incipient speciation in Lake Victoria cichlids",2006,"PLoS …","journals.plos.org","https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0040433","https://scholar.google.com/scholar?cites=249108866661532884&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:06:33","HTML","","","",,,,,207,13.80,41,5,15,"Divergent natural selection acting on ecological traits, which also affect mate choice, is a key element of ecological speciation theory, but has not previously been demonstrated at the …","https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0040433","https://scholar.google.com/scholar?q=related:1MTCwzEDdQMJ:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
191,"ME Maan, O Seehausen…","Intraspecific sexual selection on a speciation trait, male coloration, in the Lake Victoria cichlid Pundamilia nyererei",2004,"… of the Royal …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2004.2911","https://scholar.google.com/scholar?cites=16307416929090209644&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:06:33","","10.1098/rspb.2004.2911","","",,,,,191,11.24,64,3,17,"The haplochromine cichlids of Lake Victoria constitute a classical example of explosive speciation. Extensive intra–and interspecific variation in male nuptial coloration and female …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1691879/pdf/15590594.pdf","https://scholar.google.com/scholar?q=related:bAed7kuVT-IJ:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
48,"AP Shoko, SM Limbu, HDJ Mrosso…","Effect of stocking density on growth, production and economic benefits of mixed sex N ile tilapia (O reochromis niloticus) and A frican sharptooth catfish (C larias …",2016,"Aquaculture …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/are.12463","https://scholar.google.com/scholar?cites=17506784774379073623&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:06:33","","10.1111/are.12463","","",,,,,48,9.60,12,4,5,"On‐farm fish production experiments were conducted for 240 days to investigate the effect of stocking density on growth, yield and economic benefits of N ile tilapia (O reochromis …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/are.12463","https://scholar.google.com/scholar?q=related:V_AUVP-X9PIJ:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
45,"AP Shoko, SM Limbu, HDJ Mrosso…","A comparison of diurnal dynamics of water quality parameters in Nile tilapia (Oreochromis niloticus, Linnaeus, 1758) monoculture and polyculture with African …",2014,"International Aquatic …","Springer","https://link.springer.com/article/10.1007/s40071-014-0056-8","https://scholar.google.com/scholar?cites=18300969454765781443&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:06:33","HTML","10.1007/s40071-014-0056-8","","",,,,,45,6.43,11,4,7,"The overall performance of an aquaculture system is partly determined by its water quality parameters. Poor water quality stresses and adversely affects fish growth causing low …","https://link.springer.com/article/10.1007/s40071-014-0056-8","https://scholar.google.com/scholar?q=related:w7GWpMEa-v0J:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
21,"Y Terai, R Miyagi, M Aibara, S Mizoiri, H Imai…","Visual adaptation in Lake Victoria cichlid fishes: depth-related variation of color and scotopic opsins in species from sand/mud bottoms",2017,"BMC evolutionary …","Springer","https://link.springer.com/article/10.1186/s12862-017-1040-x","https://scholar.google.com/scholar?cites=4748607810904042946&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:06:33","HTML","10.1186/s12862-017-1040-x","","",,,,,21,5.25,4,6,4,"For Lake Victoria cichlid species inhabiting rocky substrates with differing light regimes, it has been proposed that adaptation of the long-wavelength-sensitive (LWS) opsin gene …","https://link.springer.com/article/10.1186/s12862-017-1040-x","https://scholar.google.com/scholar?q=related:wq2UEqVx5kEJ:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
0,"H Nakamura, M Aibara, R Kajitani…","Genomic Signatures for Species-Specific Adaptation in Lake Victoria Cichlids Derived from Large-Scale Standing Genetic Variation",2021,"Molecular Biology …","academic.oup.com","https://academic.oup.com/mbe/advance-article-abstract/doi/10.1093/molbev/msab084/6179338","",7,"2021-11-12 06:06:33","","10.1093/molbev","","",,,,,0,0.00,0,4,1,"Abstract The cichlids of Lake Victoria are a textbook example of adaptive radiation, as> 500 endemic species arose in just 14,600 years. The degree of genetic differentiation among …","https://academic.oup.com/mbe/advance-article-pdf/doi/10.1093/molbev/msab084/37757486/msab084.pdf","https://scholar.google.com/scholar?q=related:9PXTBz2BDvoJ:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
18,"N Konijnendijk, DA Joyce…","Community genetics reveal elevated levels of sympatric gene flow among morphologically similar but not among morphologically dissimilar species of Lake …",2011,"International …","downloads.hindawi.com","https://downloads.hindawi.com/archive/2011/616320.pdf","https://scholar.google.com/scholar?cites=6382480658521734746&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:06:33","PDF","","","",,,,,18,1.80,6,3,10,"We examined genetic structure among five species of Lake Victoria haplochromine cichlids in four island communities, using a full factorial sampling design that compared genetic …","https://downloads.hindawi.com/archive/2011/616320.pdf","https://scholar.google.com/scholar?q=related:Wj791Fcgk1gJ:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
4,"S Takuno, R Miyagi, J Onami…","Patterns of genomic differentiation between two Lake Victoria cichlid species, Haplochromis pyrrhocephalus and H. sp.'macula'",2019,"BMC evolutionary …","Springer","https://link.springer.com/article/10.1186/s12862-019-1387-2","https://scholar.google.com/scholar?cites=3302886749082918312&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:06:33","HTML","10.1186/s12862-019-1387-2","","",,,,,4,2.00,1,4,2,"The molecular basis of the incipient stage of speciation is still poorly understood. Cichlid fish species in Lake Victoria are a prime example of recent speciation events and a suitable …","https://link.springer.com/article/10.1186/s12862-019-1387-2","https://scholar.google.com/scholar?q=related:qJ1utP811i0J:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
3,"PE Nsinda, BS Msuku…","Fishing for Dagaa with 5 mm and 10 mm mesh nets: A comparison of length-frequencies and biological characteristics",2013,"Aquatic Ecosystem Health …","read.dukeupress.edu","https://read.dukeupress.edu/aehm/article-abstract/16/3/322/168858","https://scholar.google.com/scholar?cites=18215255761154062124&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:06:33","","","","",,,,,3,0.38,1,3,8,"Two mesh sizes (5 and 10 mm) usually used to harvest Rastrineobola argentea in Lake Victoria were assessed from April to September 2001 to determine their suitability. It was …","","https://scholar.google.com/scholar?q=related:LLd5MJuWyfwJ:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
1,"CJ Kilawe, HT Mrosso, NS Amanzi","Inappropriate village land use plans impede conservation efforts in Kilosa District, Tanzania",2018,"Nature & Faune","books.google.com","https://books.google.com/books?hl=en&lr=&id=ZV1mDwAAQBAJ&oi=fnd&pg=PA49&dq=%22hillary+mrosso%22&ots=WwNnWkj7p_&sig=2ynUK6N9zrdIxuhkm_s6c8_IMPY","https://scholar.google.com/scholar?cites=7973391554881626894&as_sdt=2005&sciodt=2007&hl=en",11,"2021-11-12 06:06:33","HTML","","","",,,,,1,0.33,0,3,3,"Summary Village Land Use Plan is increasingly becoming a tool for land resource management in rural areas of Tanzania. The plan is expected to enhance conservation and …","https://books.google.com/books?hl=en&lr=&id=ZV1mDwAAQBAJ&oi=fnd&pg=PA49&dq=%22hillary+mrosso%22&ots=WwNnWkj7p_&sig=2ynUK6N9zrdIxuhkm_s6c8_IMPY","https://scholar.google.com/scholar?q=related:DqPR018tp24J:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
5,"HDJ Mrosso","A study of the properties of some Tanzanian Acacia gums",1996,"","University of Dar es Salaam","","https://scholar.google.com/scholar?cites=18383566656576695860&as_sdt=2005&sciodt=2007&hl=en",12,"2021-11-12 06:06:33","CITATION","","","",,,,,5,0.20,5,1,25,"","","https://scholar.google.com/scholar?q=related:NC74TXmMH_8J:scholar.google.com/&scioq=author:%22hillary+mrosso%22&hl=en&as_sdt=2007"
0,"AP Shoko, SM Limbu, HDJ Mrosso, AF Mkenda…","Effect of stocking density on growth, production and economic benefits of Nile tilapia (Oreochromis niloticus) and African sharptooth catfish (Clarias gariepinus) in …",,"repository.costech.or.tz","","http://repository.costech.or.tz/handle/123456789/10036","",13,"2021-11-12 06:06:33","","","","",,,,,0,0.00,0,5,,"On-farm fish production experiments were conducted for 240 days to investigate the effect of stocking density on growth, yield and economic benefits of Nile tilapia (Oreochromis …","",""
0,"CJ Kilawe, HT Mrosso, NS Amanzi","Poor implementation of village land use plan impedes conservation efforts in Kilosa district, Tanzania",2018,"","suaire.suanet.ac.tz","http://suaire.suanet.ac.tz/handle/123456789/2413","",14,"2021-11-12 06:06:33","","","","",,,,,0,0.00,0,3,3,"Village Land Use Plan is increasingly becoming a tool for land resource management in rural areas of Tanzania. The plan is expected to enhance conservation and reduce resource …","http://suaire.suanet.ac.tz/bitstream/handle/123456789/2413/Kilawe%20et%20al_2018%20_Nature%26Faune.pdf?sequence=1&isAllowed=y",""
0,"SM Limbu, AP Shoko, HDJ Mrosso, YD Mgaya…","Effect of stocking density on growth, production and economic benefits of Nile tilapia (Oreochromis niloticus) and African sharptooth catfish (Clarias gariepinus) in …",2014,"","196.44.162.10","http://196.44.162.10:8080/xmlui/handle/123456789/520","",15,"2021-11-12 06:06:33","","","","",,,,,0,0.00,0,5,7,"On-farm fish production experiments were conducted for 240 days to investigate the effect of stocking density on growth, yield and economic benefits of Nile tilapia (Oreochromis …","",""
